date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:08	88/88	---M--	200	added ('OK')	text/plain	date:Mon,%2002%20Jan%202023%2007:39:06%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/robots.txt		(from )
17:43:12	933462/933462	---MCZ	200	added ('OK')	text/html	etag:%22516-1719835988;gz%22	https://grootacademy.com/best-traiining-insitute-in-jaipur/	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/index.html	(from )
17:43:14	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:15%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/e,baseURI	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/e,baseURI.0.delayed	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:15	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:15%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/GET	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/GET	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:15	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:16%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/wp-content/themes/educavo/assets/css/Flaticon.svg	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/wp-content/themes/educavo/assets/css/Flaticon.svg	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:16	32878/32878	---M--	200	added ('OK')	image/png	etag:%22665ffe02-80e9%22	https://cdn-cceko.nitrocdn.com/groot-academy/assets/images/optimized/rev-3721a68/grootacademy.com/best-traiining-insitute-in-jaipur/wp-content/uploads/2021/10/background2.png	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/cdn-cceko.nitrocdn.com/groot-academy/assets/images/optimized/rev-3721a68/grootacademy.com/best-traiining-insitute-in-jaipur/wp-content/uploads/2021/10/background2.png	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:16	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2012:13:16%20GMT	https://grootacademy.com/best-traiining-insitute-in-jaipur/Edge/	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/Edge/index.html	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:16	2476/2476	---M--	200	added ('OK')	image/jpeg	etag:%22665ffe02-a31%22	https://cdn-cceko.nitrocdn.com/groot-academy/assets/images/optimized/rev-3721a68/grootacademy.com/best-traiining-insitute-in-jaipur/wp-content/uploads/2024/01/job-oriented-course1.jpg	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/cdn-cceko.nitrocdn.com/groot-academy/assets/images/optimized/rev-3721a68/grootacademy.com/best-traiining-insitute-in-jaipur/wp-content/uploads/2024/01/job-oriented-course1.jpg	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:17	2475/2475	---M--	200	added ('OK')	image/jpeg	etag:%22665ffe02-a2a%22	https://cdn-cceko.nitrocdn.com/groot-academy/assets/images/optimized/rev-3721a68/grootacademy.com/best-traiining-insitute-in-jaipur/wp-content/uploads/2024/01/Certification1.jpg	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/cdn-cceko.nitrocdn.com/groot-academy/assets/images/optimized/rev-3721a68/grootacademy.com/best-traiining-insitute-in-jaipur/wp-content/uploads/2024/01/Certification1.jpg	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
17:43:17	823/823	---M-Z	200	added ('OK')	text/xml	etag:%22517-1719835998;gz%22	https://grootacademy.com/best-traiining-insitute-in-jaipur/xmlrpc.php?rsd	C:/My%20Web%20Sites/https___grootacademy.com/best-traiining-insitute-in-jaipur_/grootacademy.com/best-traiining-insitute-in-jaipur/xmlrpc0db0.php	(from https://grootacademy.com/best-traiining-insitute-in-jaipur/)
